run; day; pollinator_agent; pollinator_species; plant_patch; plant_species; flower_density; habitat; foraging_distance
10;0;18;1;(patch 15 146);1;16;1;2
10;0;66;3;(patch 173 33);2;16;2;1.414
10;0;23;1;(patch 12 149);1;15;1;3.162
10;0;21;1;(patch 10 147);1;15;1;3.162
10;0;0;1;(patch 15 146);1;15;1;2
10;0;20;1;(patch 10 147);1;14;1;3.162
10;0;25;1;(patch 12 149);1;14;1;3.162
10;0;17;1;(patch 15 146);1;14;1;2
10;0;22;1;(patch 16 146);1;13;1;3
10;0;24;1;(patch 10 147);1;13;1;3.162
10;0;19;1;(patch 12 149);1;13;1;3.162
10;0;68;3;(patch 167 37);2;12;2;9
10;0;9;4;(patch 156 267);5;16;5;3.162
10;0.0017;22;1;(patch 21 145);1;14;1;8
10;0.0017;2;3;(patch 115 51);3;7;3;8.125
10;0.0017;17;1;(patch 14 152);1;5;1;8
10;0.0017;68;3;(patch 174 45);2;16;2;20
10;0.0033;18;1;(patch 16 153);1;10;1;9.189
10;0.0033;9;4;(patch 156 278);5;13;5;14.169
10;0.0033;59;8;(patch 295 38);5;16;5;65.194
10;0.0033;25;1;(patch 18 146);1;16;1;10.775
10;0.0033;0;1;(patch 20 141);1;16;1;9.14
10;0.0033;24;1;(patch 1 153);1;16;1;15.075
10;0.0033;1;2;(patch 158 38);2;12;2;14
10;0.0033;66;3;(patch 158 39);2;16;2;18.019
10;0.0033;23;1;(patch 19 145);1;15;1;14.006
10;0.0033;21;1;(patch 6 147);1;15;1;7.19
10;0.0033;20;1;(patch 4 148);1;15;1;9.775
10;0.0033;22;1;(patch 25 141);1;7;1;14
10;0.0033;19;1;(patch 16 150);1;14;1;7.957
10;0.005;69;3;(patch 131 55);2;14;2;47.206
10;0.005;66;3;(patch 168 46);2;6;2;30.019
10;0.005;17;1;(patch 26 156);1;14;1;20.803
10;0.005;19;1;(patch 18 160);1;10;1;17.957
10;0.005;68;3;(patch 176 56);2;16;2;31.598
10;0.005;33;2;(patch 172 34);2;15;2;19.258
10;0.005;24;1;(patch 8 154);1;16;1;22.075
10;0.005;38;6;(patch 295 59);6;10;6;26.564
10;0.005;20;1;(patch 4 148);1;14;1;9.775
10;0.005;18;1;(patch 15 159);1;11;1;15.189
10;0.0067;69;3;(patch 125 63);3;7;3;57.206
10;0.0067;48;7;(patch 13 290);5;12;5;45
10;0.0067;0;1;(patch 29 139);1;16;1;19.583
10;0.0067;25;1;(patch 24 142);1;15;1;19.044
10;0.0067;59;8;(patch 280 77);6;15;6;107.141
10;0.0067;1;2;(patch 164 38);2;16;2;20.313
10;0.0067;23;1;(patch 24 147);1;14;1;19.799
10;0.0067;19;1;(patch 14 157);1;10;1;22.957
10;0.0067;21;1;(patch 1 143);1;14;1;14.053
10;0.0067;22;1;(patch 31 146);1;16;1;21.942
10;0.0067;33;2;(patch 175 37);2;11;2;23.258
10;0.0067;18;1;(patch 15 162);1;9;1;18.189
10;0.0067;63;3;(patch 165 39);2;13;2;42
10;0.0067;68;3;(patch 177 58);2;9;2;33.598
10;0.0083;17;1;(patch 34 151);1;15;1;30.286
10;0.0083;9;4;(patch 160 282);5;16;5;24.925
10;0.0083;30;2;(patch 159 39);2;16;2;30.943
10;0.0083;24;1;(patch 9 146);1;15;1;30.087
10;0.0083;27;2;(patch 167 38);2;16;2;33.642
10;0.0083;29;2;(patch 158 39);2;15;2;26.405
10;0.0083;18;1;(patch 23 163);1;7;1;26.189
10;0.0083;66;3;(patch 167 52);2;16;2;36.893
10;0.0083;60;8;(patch 291 89);6;16;6;152.431
10;0.0083;69;3;(patch 123 70);3;4;3;64.206
10;0.0083;23;1;(patch 21 151);1;7;1;24.799
10;0.0083;19;1;(patch 11 160);1;9;1;26.957
10;0.0083;21;1;(patch 1 137);1;10;1;20.053
10;0.0083;33;2;(patch 172 35);2;10;2;26.258
10;0.0083;38;6;(patch 295 63);6;16;6;32.189
10;0.0083;20;1;(patch 8 143);1;16;1;16.311
10;0.0083;25;1;(patch 25 142);1;4;1;20.044
10;0.01;21;1;(patch 7 136);1;15;1;26.053
10;0.01;0;1;(patch 29 131);1;16;1;28.569
10;0.01;48;7;(patch 10 282);5;13;5;55.254
10;0.01;9;4;(patch 161 279);5;16;5;27.925
10;0.01;20;1;(patch 15 146);1;13;1;23.311
10;0.01;1;2;(patch 170 45);2;16;2;30.74
10;0.01;29;2;(patch 159 51);2;10;2;38.405
10;0.01;22;1;(patch 40 153);1;14;1;33.703
10;0.01;55;8;(patch 3 35);5;13;5;169.889
10;0.01;59;8;(patch 285 51);5;14;5;136.32
10;0.01;19;1;(patch 15 162);1;8;1;30.957
10;0.01;30;2;(patch 159 42);2;12;2;33.943
10;0.01;4;5;(patch 119 54);3;10;3;77.68
10;0.01;63;3;(patch 163 49);2;15;2;52.697
10;0.01;38;6;(patch 290 74);6;8;6;44.189
10;0.01;25;1;(patch 23 147);1;10;1;26.044
10;0.01;66;3;(patch 176 46);2;8;2;47.893
10;0.01;68;3;(patch 184 65);2;15;2;43.788
10;0.01;2;3;(patch 128 57);2;13;2;63.125
10;0.01;27;2;(patch 167 42);2;5;2;37.642
10;0.0117;48;7;(patch 6 287);5;4;5;61.254
10;0.0117;18;1;(patch 28 167);1;15;1;33.353
10;0.0117;22;1;(patch 37 155);1;15;1;37.703
10;0.0117;30;2;(patch 151 46);2;5;2;42.943
10;0.0117;2;3;(patch 118 56);3;9;3;73.125
10;0.0117;25;1;(patch 23 151);1;6;1;30.044
10;0.0117;27;2;(patch 165 39);2;12;2;41.642
10;0.0117;24;1;(patch 12 132);1;14;1;44.45
10;0.0117;63;3;(patch 167 56);2;12;2;60.697
10;0.0117;21;1;(patch 6 136);1;4;1;27.053
10;0.0117;7;8;(patch 101 259);4;15;4;188.946
10;0.0117;61;8;(patch 179 293);5;16;5;189
10;0.0117;9;4;(patch 161 276);5;8;5;30.925
10;0.0117;69;3;(patch 113 74);3;16;3;75.81
10;0.0117;29;2;(patch 153 53);2;15;2;44.405
10;0.0117;56;8;(patch 289 261);5;15;5;188.034
10;0.0117;23;1;(patch 23 159);1;16;1;33.143
10;0.0117;33;2;(patch 179 30);2;16;2;36.053
10;0.0117;53;8;(patch 278 245);5;16;5;178.828
