"","run","seed_percent","pollinator_species","pol.bm","pol.soc","pl.no.vis"
"1",1010187544,2.71219421920234e-05,1,2.061,0,1
"2",1010187544,2.71219421920234e-05,2,2.942,0,4
"3",1010187544,2.71219421920234e-05,3,5.726,1,6
"4",1010187544,2.71219421920234e-05,4,2.299,1,3
"5",1010187544,2.71219421920234e-05,5,6.607,2,4
"6",1010187544,2.71219421920234e-05,6,5.129,2,2
"7",1010187544,2.71219421920234e-05,7,6.471,3,6
"8",1010187544,2.71219421920234e-05,8,5.709,3,6
"9",1018749200,0.00724246077892512,1,4.089,0,5
"10",1018749200,0.00724246077892512,2,5.89,0,6
"11",1018749200,0.00724246077892512,3,5.175,1,5
"12",1018749200,0.00724246077892512,4,4.565,1,5
"13",1018749200,0.00724246077892512,5,2.234,2,6
"14",1018749200,0.00724246077892512,6,4.8,2,5
"15",1018749200,0.00724246077892512,7,1.926,3,5
"16",1018749200,0.00724246077892512,8,4.018,3,6
"17",1018840236,0.629894243700613,1,1.569,0,5
"18",1018840236,0.629894243700613,2,4.367,0,3
"19",1018840236,0.629894243700613,3,7.855,1,3
"20",1018840236,0.629894243700613,4,7.56,1,4
"21",1018840236,0.629894243700613,5,5.335,2,5
"22",1018840236,0.629894243700613,6,6.058,2,6
"23",1018840236,0.629894243700613,7,1.507,3,2
"24",1018840236,0.629894243700613,8,7.483,3,3
"25",1019394436,0.0610485221266745,1,3.774,0,5
"26",1019394436,0.0610485221266745,2,4.158,0,3
"27",1019394436,0.0610485221266745,3,5.971,1,5
"28",1019394436,0.0610485221266745,4,4.046,1,5
"29",1019394436,0.0610485221266745,5,6.544,2,3
"30",1019394436,0.0610485221266745,6,1.665,2,4
"31",1019394436,0.0610485221266745,7,5.914,3,6
"32",1019394436,0.0610485221266745,8,1.361,3,5
"33",1021631077,0.748065043518885,1,6.55,0,2
"34",1021631077,0.748065043518885,2,2.292,0,4
"35",1021631077,0.748065043518885,3,2.869,1,3
"36",1021631077,0.748065043518885,4,3.414,1,3
"37",1021631077,0.748065043518885,5,5.604,2,3
"38",1021631077,0.748065043518885,6,1.611,2,1
"39",1021631077,0.748065043518885,7,6.935,3,4
"40",1021631077,0.748065043518885,8,1.141,3,3
"41",1023542251,0.000779047309575426,1,7.505,0,3
"42",1023542251,0.000779047309575426,2,6.857,0,3
"43",1023542251,0.000779047309575426,3,5.516,1,4
"44",1023542251,0.000779047309575426,4,1.187,1,3
"45",1023542251,0.000779047309575426,5,4.785,2,1
"46",1023542251,0.000779047309575426,6,5.638,2,3
"47",1023542251,0.000779047309575426,7,7.255,3,3
"48",1023542251,0.000779047309575426,8,3.908,3,2
"49",1027631543,0.00205413976706749,1,6.427,0,3
"50",1027631543,0.00205413976706749,2,7.391,0,3
"51",1027631543,0.00205413976706749,3,7.265,1,2
"52",1027631543,0.00205413976706749,4,6.963,1,1
"53",1027631543,0.00205413976706749,5,4.071,2,1
"54",1027631543,0.00205413976706749,6,1.418,2,3
"55",1027631543,0.00205413976706749,7,3.732,3,2
"56",1027631543,0.00205413976706749,8,2.476,3,3
"57",1028284568,0.735451158065453,1,7.144,0,4
"58",1028284568,0.735451158065453,2,5.748,0,3
"59",1028284568,0.735451158065453,3,4.389,1,3
"60",1028284568,0.735451158065453,4,6.064,1,3
"61",1028284568,0.735451158065453,5,2.646,2,4
"62",1028284568,0.735451158065453,6,2.165,2,4
"63",1028284568,0.735451158065453,7,5.336,3,4
"64",1028284568,0.735451158065453,8,2.686,3,3
"65",1028443965,0.19398223172517,1,5.772,0,4
"66",1028443965,0.19398223172517,2,3.877,0,3
"67",1028443965,0.19398223172517,3,2.553,1,2
"68",1028443965,0.19398223172517,4,7.615,1,5
"69",1028443965,0.19398223172517,5,1.464,2,3
"70",1028443965,0.19398223172517,6,4.779,2,4
"71",1028443965,0.19398223172517,7,7.325,3,2
"72",1028443965,0.19398223172517,8,6.95,3,2
"73",1035539211,0.539259583025182,1,4.349,0,4
"74",1035539211,0.539259583025182,2,6.855,0,5
"75",1035539211,0.539259583025182,3,7.194,1,3
"76",1035539211,0.539259583025182,4,5.924,1,4
"77",1035539211,0.539259583025182,5,7.651,2,5
"78",1035539211,0.539259583025182,6,1.488,2,4
"79",1035539211,0.539259583025182,7,5.245,3,5
"80",1035539211,0.539259583025182,8,4.893,3,5
"81",1040828425,5.1089875161289e-05,1,1.88,0,1
"82",1040828425,5.1089875161289e-05,2,3.896,0,2
"83",1040828425,5.1089875161289e-05,3,1.523,1,1
"84",1040828425,5.1089875161289e-05,4,6.812,1,1
"85",1040828425,5.1089875161289e-05,5,5.87,2,3
"86",1040828425,5.1089875161289e-05,6,2.584,2,1
"87",1040828425,5.1089875161289e-05,7,4.18,3,1
"88",1040828425,5.1089875161289e-05,8,4.111,3,2
"89",1052842409,9.96191221031365e-05,1,1.185,0,3
"90",1052842409,9.96191221031365e-05,2,2.877,0,3
"91",1052842409,9.96191221031365e-05,3,5.053,1,6
"92",1052842409,9.96191221031365e-05,4,4.381,1,3
"93",1052842409,9.96191221031365e-05,5,1.809,2,1
"94",1052842409,9.96191221031365e-05,6,4.028,2,3
"95",1052842409,9.96191221031365e-05,7,6.972,3,5
"96",1052842409,9.96191221031365e-05,8,2.864,3,5
"97",1061934868,0.000219691659934061,1,4.941,0,2
"98",1061934868,0.000219691659934061,2,4.668,0,1
