"seed_percent","run","plant_species","free.dist"
0.903316362669963,1002161252,1,1
0.903316362669963,1002161252,2,1
0.903316362669963,1002161252,3,1
0.903316362669963,1002161252,4,1
0.903316362669963,1002161252,5,1
0.903316362669963,1002161252,6,1
0.000452401017860531,1003502119,1,8.21
0.000452401017860531,1003502119,2,10.23
0.000452401017860531,1003502119,3,7.99
0.000452401017860531,1003502119,4,9.16
0.000452401017860531,1003502119,5,9.15
0.000452401017860531,1003502119,6,12.52
0.000238274527936591,1004387676,1,16.28
0.000238274527936591,1004387676,2,14.5
0.000238274527936591,1004387676,3,13.57
0.000238274527936591,1004387676,4,21.71
0.000238274527936591,1004387676,5,17.62
0.000238274527936591,1004387676,6,12.76
0.806295910309164,1006418267,1,1.01
0.806295910309164,1006418267,2,1
0.806295910309164,1006418267,3,1
0.806295910309164,1006418267,4,1.02
0.806295910309164,1006418267,5,1
0.806295910309164,1006418267,6,1
0.0888821179918391,1026561061,1,1.24
0.0888821179918391,1026561061,2,1.26
0.0888821179918391,1026561061,3,1.31
0.0888821179918391,1026561061,4,1.27
0.0888821179918391,1026561061,5,1.11
0.0888821179918391,1026561061,6,1.27
0.391753132587047,1028918890,1,1.07
0.391753132587047,1028918890,2,1.02
0.391753132587047,1028918890,3,1.05
0.391753132587047,1028918890,4,1.03
0.391753132587047,1028918890,5,1.02
0.391753132587047,1028918890,6,1.03
0.000886322471555423,1031418509,1,8.55
0.000886322471555423,1031418509,2,5.9
0.000886322471555423,1031418509,3,6.68
0.000886322471555423,1031418509,4,4.41
0.000886322471555423,1031418509,5,8.58
0.000886322471555423,1031418509,6,7.41
1.77757838123134e-05,1032232651,1,47.36
1.77757838123134e-05,1032232651,2,18.41
1.77757838123134e-05,1032232651,3,21
1.77757838123134e-05,1032232651,4,22.95
1.77757838123134e-05,1032232651,5,28.58
1.77757838123134e-05,1032232651,6,29.23
8.87940209838439e-05,1036880148,1,12.57
8.87940209838439e-05,1036880148,2,15
8.87940209838439e-05,1036880148,3,14.75
8.87940209838439e-05,1036880148,4,16.23
8.87940209838439e-05,1036880148,5,12.93
8.87940209838439e-05,1036880148,6,15.83
3.95464715665909e-05,1039219429,1,16.52
3.95464715665909e-05,1039219429,2,16.85
3.95464715665909e-05,1039219429,3,33.71
3.95464715665909e-05,1039219429,4,16.66
3.95464715665909e-05,1039219429,5,20.01
3.95464715665909e-05,1039219429,6,31.5
0.0278713784635281,1046077975,1,1.58
0.0278713784635281,1046077975,2,1.73
0.0278713784635281,1046077975,3,1.72
0.0278713784635281,1046077975,4,1.58
0.0278713784635281,1046077975,5,1.91
0.0278713784635281,1046077975,6,1.94
0.91614865839949,1048771807,1,1.02
0.91614865839949,1048771807,2,1
0.91614865839949,1048771807,3,1.01
0.91614865839949,1048771807,4,1.01
0.91614865839949,1048771807,5,1
0.91614865839949,1048771807,6,1
0.18378472660041,1052790047,1,1.65
0.18378472660041,1052790047,2,1.28
0.18378472660041,1052790047,3,1.29
0.18378472660041,1052790047,4,1.3
0.18378472660041,1052790047,5,1.42
0.18378472660041,1052790047,6,1.37
4.47819495758377e-05,1053882559,1,33.36
4.47819495758377e-05,1053882559,2,23.71
4.47819495758377e-05,1053882559,3,20.62
4.47819495758377e-05,1053882559,4,30.1
4.47819495758377e-05,1053882559,5,26.91
4.47819495758377e-05,1053882559,6,10.77
