"run","seed_percent","number_visits_sum"
6,5e-05,5747.85897903873
9,5e-05,6372.07922309273
10,5e-05,5762.89033864798
11,1e-04,5950.0629381287
12,1e-04,6303.7484936866
13,1e-04,6145.70207149878
14,1e-04,4773.34561739501
15,1e-04,5427.69610592721
16,5e-04,6100.61207488837
7,5e-05,5992.542272706
1,1e-05,5950.94961675825
2,1e-05,5226.10146324283
3,1e-05,5290.0429051181
4,1e-05,6910.74746522777
8,5e-05,6322.0584112477
5,1e-05,5324.37386769628
17,5e-04,6347.37920569477
18,5e-04,6248.99329133264
19,5e-04,6703.82219215726
20,5e-04,5242.79038002819
21,0.001,4905.82945511735
22,0.001,6609.81613893262
23,0.001,5321.8047743523
24,0.001,5296.35425595929
25,0.001,5447.45299098987
26,0.005,6470.9537972419
27,0.005,5461.78604328829
28,0.005,5265.04672370197
29,0.005,5255.68503178174
30,0.005,5520.53672048813
31,0.01,5086.14385767664
32,0.01,4758.14746818384
33,0.01,5783.78969706373
34,0.01,6034.05907912898
35,0.01,5541.38907118947
36,0.025,4428.50469749548
37,0.025,4220.24914611225
38,0.025,4248.61578569196
39,0.025,4463.52406603297
40,0.025,4839.30437633301
41,0.05,4361.69627052693
42,0.05,4797.41461172
43,0.05,5029.76773850739
44,0.05,4563.95809992114
45,0.05,4865.92172847092
46,0.075,5154.76889696064
47,0.075,4036.60345400209
48,0.075,5740.57392014577
49,0.075,4484.51661263
50,0.075,4491.37176813615
51,0.1,4456.68119521088
52,0.1,4545.95885843851
53,0.1,5398.05406507517
54,0.1,4123.86577256082
55,0.1,4999.13561685209
56,0.25,3812.80116792412
57,0.25,4517.86480842886
58,0.25,4368.39648004961
59,0.25,4804.74414603113
60,0.25,4087.83754798497
61,0.5,5899.62689742734
62,0.5,5502.38915904049
63,0.5,4306.2496415818
64,0.5,4325.24161441078
65,0.5,4755.99572011947
66,0.75,3762.215673792
67,0.75,4380.6116190162
68,0.75,3969.75137293531
69,0.75,4474.94073388814
70,0.75,4177.89574940158
71,1,4002.32384293686
72,1,3991.42494131755
74,1,7106.38870330049
73,1,4440.51862969887
75,1,4622.49299603097
