"run","seed_percent","","","",""
1,1e-05,0.000758419534411667,0.000497365947889091,0.000864362396675926,0.00125151880834153
2,1e-05,0.000914215447450294,0.000282510839362313,0.000845578000859567,0.00106392648841901
3,1e-05,0.000604449129383344,0.00068680860399604,0.000277188913929024,0.000886463458785892
4,1e-05,0.000828485898262013,1.59770387947152e-06,0.00138728194749767,0.000560000935688492
5,1e-05,0.000214843186480904,0.000483944360417214,0.00105105789116139,0.00107270199272017
6,5e-05,0.000685824794029088,0.00132058057615579,0.0014459690620858,5.2229960753052e-05
7,5e-05,0.00120788241248306,0.000982292655078344,0.00110575641777518,0.000582008581773864
8,5e-05,0.00083749161075341,0.000394562938102348,0.000669536073887735,0.000889676460139724
9,5e-05,0.00104578854503274,0.00127050397626956,0.000644323501248338,0.000230905121020846
10,5e-05,0.00078717891033855,0.000540076149329701,0.000284087225653327,0.00116114209895252
11,1e-04,0.00192157495834278,0.000634789797062373,0.000657546601592586,0.000419765566332946
12,1e-04,0.00143683558331691,0.000933273999178968,0.000896774752517089,0.000339772052003413
13,1e-04,0.00136026513692788,0.000632554228535517,0.000659293267373339,0.000734479428008883
14,1e-04,0.000394117110881977,0.000679573658746641,0.00172089697937167,0.000440173091444676
15,1e-04,0.000567094780206357,0.000719305557302465,0.00101906532357572,1.12371647521636e-08
16,5e-04,0.00122532184085523,0.000556170266428952,0.000936563273066938,1.14939986009181e-14
17,5e-04,0.000367764962888684,2.86384737089437e-05,0.000245496785807604,0.00131886614393182
18,5e-04,0.00125793104608019,0.000981313130678416,0.000427310842733955,0.000601527523498243
19,5e-04,0.000913368400257564,0.00134521587690281,0.000549043423662457,0.000368985412045279
20,5e-04,0.000571920192321127,0.000901110067139839,0.000871991713652757,0.0006903505337666
21,0.001,0.000350253661487954,0.00114031296351323,0.000510178065066979,3.13474352330789e-08
22,0.001,0.000686345107414616,0.000578567308104727,0.000908341750841903,0.000769361781453077
23,0.001,0.000634686460225139,0.000399409209068149,0.000515676063374536,0.000612630846852719
24,0.001,0.000692596258195994,0.000623511407117292,0.00260017913628051,0.00124339573538749
25,0.001,0.000759979824776363,0.000250033917778372,0.000239580881093466,0.000532731338950441
26,0.005,0.000706504871567971,0.00238390678515868,0.000687750618052609,0.00039184569544912
27,0.005,0.000168266769832747,0.000391023930056939,0.000361299220886936,0.000759925858896682
28,0.005,0.000691941772501224,0.000195319217983002,0.000417026784523403,0.000394667201148725
29,0.005,0.000599212532794972,0.000848069411391051,0.000165829082981576,1.18163265414823e-05
30,0.005,0.000675585404519501,0.000493570711840313,0.00189876232295053,0.000326097278314592
31,0.01,0.000232689953402166,3.01688769867501e-05,0.000881011601032199,0.000261967681183357
32,0.01,0.000339787451166287,0.00106790884634074,2.08995230331991e-07,9.44249676296172e-05
33,0.01,0.000609316664149533,0.000611816237021249,1.80035991410795e-09,0.000340654295076133
34,0.01,0.000174917303592522,0.000972033185435487,0,0.000684528406594316
35,0.01,0.000415666996933242,0.000358706973240905,0.000488759762698287,0.000547046072537501
36,0.05,0.000294520574468702,0.000589471545568234,0.00033396111052812,7.76386644722797e-07
37,0.05,0.000121446131379235,0.000668381310420575,0.000124882791738437,0.000422102867360566
38,0.05,0,0.00053411154274973,0.000484665732212192,0.000101801586440808
39,0.05,0.000151047676619762,0.00023361452163865,0.00030817400444615,0.00028960693553432
40,0.05,0.000611859775944309,0.000205517865299142,3.91271475352535e-05,0.000222208435194635
41,0.1,0.000458532221947675,0.0003355870127735,0.000475528241580898,0.000268123324396783
42,0.1,0.00014253200583231,0.000359610043379073,0.000403324694526217,0.000171710008901952
43,0.1,6.45225358427045e-05,0.000362304168919435,0.000201413364809196,0.000149013742523356
44,0.1,0.000298007769210618,0.000459799049993827,0.000349848795047946,0.000276340188949213
45,0.1,0.00016355960775688,0.000139212419890166,0.000505846475058629,0.000376246250183988
46,0.5,0.000314208320665615,0.000473016722578927,9.31997832660701e-05,1.94230769230803e-06
47,0.5,0.000191229696971453,0.000322769965184816,0.000179940466790638,0.00029487822925135
48,0.5,8.75660497372815e-05,1.57492367757095e-07,0.00029475348917576,0.000412400636965409
49,0.5,0.000310799006868018,0.000197106645762321,0.000223414118703951,0.000205251222378015
50,0.5,0.000110472919418819,0.000211048155316473,0.00028704877411632,0.000441786767675268
51,1,0.000325852688063139,0.000402608117427992,0.000143287427501,6.76425675682145e-09
52,1,0.000357569907514372,0.000365043304470471,0.000292178363225578,1.87612573641692e-05
53,1,0.000291316071133131,0.000148474838709044,9.47479447571394e-06,0.000508722687785858
54,1,1.98435557803127e-05,2.38860241949253e-05,0.000490614327144159,0.000290508517728654
55,1,2.42534869840115e-05,0.000186548946066844,0.00024533671751,0.000258215225566399
