"run","seed_percent","","","",""
1,1e-05,11,3,9,11
2,1e-05,9,4,8,11
3,1e-05,11,8,2,8
4,1e-05,10,0,17,8
5,1e-05,1,6,12,14
6,5e-05,12,14,7,1
7,5e-05,9,9,9,7
8,5e-05,5,2,7,14
9,5e-05,13,12,5,2
10,5e-05,9,6,2,15
11,1e-04,17,7,6,7
12,1e-04,11,16,4,1
13,1e-04,12,8,11,4
14,1e-04,1,12,15,6
15,1e-04,5,14,16,0
16,5e-04,15,15,4,0
17,5e-04,4,0,2,33
18,5e-04,8,10,1,15
19,5e-04,15,4,9,5
20,5e-04,1,10,9,14
21,0.001,4,29,2,0
22,0.001,7,12,0,11
23,0.001,8,2,7,11
24,0.001,9,18,5,2
25,0.001,12,2,3,9
26,0.005,9,8,7,6
27,0.005,2,3,7,7
28,0.005,17,0,3,8
29,0.005,7,17,3,0
30,0.005,15,8,7,2
31,0.01,3,0,18,3
32,0.01,6,16,0,2
33,0.01,10,11,0,4
34,0.01,3,21,0,6
35,0.01,10,6,3,5
36,0.05,5,6,7,0
37,0.05,0,9,2,6
38,0.05,0,11,9,1
39,0.05,3,4,6,3
40,0.05,14,4,0,3
41,0.1,3,7,12,0
42,0.1,0,8,8,1
43,0.1,2,5,4,1
44,0.1,3,6,6,1
45,0.1,0,3,4,8
46,0.5,8,10,1,0
47,0.5,0,4,3,8
48,0.5,1,0,3,12
49,0.5,2,4,3,3
50,0.5,0,4,6,6
51,1,8,6,2,0
52,1,7,4,5,0
53,1,6,1,0,8
54,1,0,1,8,4
55,1,0,2,7,4
