"run","seed_percent","number_visits_sum"
1,1e-05,7746.82054145302
2,1e-05,6804.19333064166
3,1e-05,6933.49718252181
4,1e-05,8935.71818484859
5,1e-05,7000.72551946639
6,5e-05,7490.70422016092
7,5e-05,7766.75134205186
8,5e-05,8318.53998608413
9,5e-05,8210.547096914
10,5e-05,7517.41711713481
11,1e-04,7868.87880481421
12,1e-04,8356.82917540849
13,1e-04,8099.45707718775
14,1e-04,6318.07398376084
15,1e-04,7172.65983085177
16,5e-04,8091.62045205129
17,5e-04,8629.54015567728
18,5e-04,8323.84687464887
19,5e-04,9149.72014031893
20,5e-04,6982.47096645975
21,0.001,6406.45359275162
22,0.001,8930.66276256572
23,0.001,7150.67787886152
24,0.001,7162.41510395544
25,0.001,7500.08763449091
26,0.005,8704.83947074068
27,0.005,8012.99509357074
28,0.005,7726.44364628162
29,0.005,7550.06559749001
30,0.005,7714.9523769409
31,0.01,7452.62910390897
32,0.01,7367.30328231695
33,0.01,8604.89405365804
34,0.01,8831.17107374878
35,0.01,8210.0693085809
36,0.025,7116.5612727961
37,0.025,6676.44119799177
38,0.025,6765.01971359572
39,0.025,6891.96124197272
40,0.025,7747.26016532186
41,0.05,6472.05381704575
42,0.05,7377.59076448759
43,0.05,7693.30923199875
44,0.05,7248.78238917235
45,0.05,7349.55772031554
46,0.075,7346.17173601435
47,0.075,6545.23523457697
48,0.075,8820.73386776379
49,0.075,7463.06696087021
50,0.075,7233.27458216149
51,0.1,7014.632295479
52,0.1,7284.51833058414
53,0.1,8398.4341928845
54,0.1,6898.27270405696
55,0.1,8034.23699383269
56,0.25,6520.75922758627
57,0.25,7399.61305199869
58,0.25,7143.90736253453
59,0.25,7819.82338133064
60,0.25,7033.50839354648
61,0.5,7865.78328486032
62,0.5,8066.36453654765
63,0.5,6917.09733943559
64,0.5,7049.07942053862
65,0.5,7278.74268800852
66,0.75,6358.76670167536
67,0.75,7467.9300457062
68,0.75,6690.41849507526
69,0.75,7561.62686904
70,0.75,7235.51527448801
71,1,6823.32048868825
72,1,6632.68836392268
73,1,7436.21483990366
74,1,10063.4473488024
75,1,7748.87543160111
