"run","seed_percent","number_visits_sum"
1,1e-05,6216.82551617494
9,5e-05,5534.85688991593
10,5e-05,6021.53794822301
11,1e-04,6406.0237515579
12,1e-04,4681.46503388326
13,1e-04,6621.81132271132
14,1e-04,6658.90189609125
15,1e-04,6976.92401413826
16,5e-04,6268.55668009534
2,1e-05,6307.44108160006
3,1e-05,6557.20215704544
4,1e-05,5977.5053651376
5,1e-05,6126.14064561035
6,5e-05,6736.78030230075
7,5e-05,5614.54539440433
8,5e-05,5164.51291505795
17,5e-04,6650.45792565592
18,5e-04,5919.29770388215
19,5e-04,6263.71867801146
20,5e-04,6082.37447459014
21,0.001,6034.26951729308
22,0.001,6167.67131708555
23,0.001,6149.10000654124
24,0.001,6368.42264972208
25,0.001,6140.47848950746
26,0.005,4804.45894656767
27,0.005,5042.11026786417
28,0.005,6448.07330268205
29,0.005,5835.00317686255
30,0.005,5627.21517333745
31,0.01,5063.91515133252
32,0.01,5059.99251109423
33,0.01,5202.79564632275
34,0.01,5221.46106375048
35,0.01,5813.20746852733
36,0.05,4685.93983457671
37,0.05,4411.58581785342
38,0.05,5045.31083930062
39,0.05,4630.22207967725
40,0.05,5313.6480817572
41,0.1,5351.45849057394
42,0.1,4766.19156350164
43,0.1,4420.41571992293
44,0.1,4033.72079874038
45,0.1,4409.1730293651
46,0.5,5000.21433005098
47,0.5,4646.00257321112
48,0.5,4370.34343225728
49,0.5,4200.4796443779
50,0.5,4334.74308728034
51,1,4388.56197808614
52,1,4234.81349544678
53,1,4116.36100537351
54,1,3644.66805577901
55,1,4734.87708537334
