"run","seed_percent","","","",""
1,1e-05,2802,1015,1750,1702
2,1e-05,1708,2162,1622,1912
3,1e-05,3074,2002,928,1685
4,1e-05,2117,399,2198,2269
5,1e-05,790,2170,1839,2389
6,5e-05,3185,1787,955,1952
7,5e-05,1398,1680,1475,2012
8,5e-05,933,865,1653,2703
9,5e-05,2148,1544,1226,1585
10,5e-05,1859,1630,1007,2546
11,1e-04,1518,1844,1578,2598
12,1e-04,1328,3059,686,398
13,1e-04,1535,1967,3308,963
14,1e-04,447,3087,1616,2669
15,1e-04,1411,3272,2863,653
16,5e-04,2028,4657,654,31
17,5e-04,1833,256,1057,4658
18,5e-04,907,1710,203,4160
19,5e-04,2912,396,2367,1761
20,5e-04,275,1760,1653,3452
21,0.001,1809,4654,426,202
22,0.001,1400,3674,74,2218
23,0.001,2041,700,1736,2838
24,0.001,2034,5120,269,163
25,0.001,2526,857,1581,2397
26,0.005,1834,522,1344,2034
27,0.005,1326,974,2732,1144
28,0.005,3997,214,869,2755
29,0.005,1576,3132,2038,332
30,0.005,3462,2260,509,557
31,0.01,1438,267,3257,1235
32,0.01,2243,2102,341,1622
33,0.01,2268,2697,157,1339
34,0.01,1959,3524,4,896
35,0.01,3475,1990,651,1096
36,0.05,1914,1036,2667,376
37,0.05,273,1917,1848,1574
38,0.05,21,3200,2400,688
39,0.05,1534,1727,1995,753
40,0.05,3409,1677,98,1504
41,0.1,538,2451,3693,69
42,0.1,157,2577,2844,506
43,0.1,1617,1624,1942,568
44,0.1,1161,1796,1969,261
45,0.1,160,2085,730,2642
46,0.5,3170,2910,318,4
47,0.5,106,1372,1319,3226
48,0.5,481,112,1003,3907
49,0.5,507,2245,1335,1495
50,0.5,209,1990,2204,1311
51,1,3145,1473,1020,12
52,1,2482,881,2048,97
53,1,2698,499,253,1907
54,1,470,788,1965,1554
55,1,145,1169,3379,1519
